,filename,nloc_start,nloc_end,complexity_start,complexity_end
0,StorageService.java,3306.0,3743.0,717.0,838.0
1,ColumnFamilyStore.java,1617.0,1864.0,314.0,373.0
2,DatabaseDescriptor.java,1445.0,1799.0,374.0,471.0
3,CompactionManager.java,1252.0,1654.0,194.0,265.0
4,StorageProxy.java,1867.0,2143.0,333.0,377.0
5,SSTableReader.java,1588.0,1600.0,322.0,324.0
6,Config.java,234.0,310.0,4.0,12.0
7,CassandraDaemon.java,522.0,643.0,95.0,117.0
8,SelectStatement.java,803.0,918.0,157.0,177.0
9,SinglePartitionReadCommand.java,350.0,884.0,63.0,157.0
10,NodeProbe.java,1215.0,1145.0,263.0,255.0
11,MessagingService.java,929.0,915.0,159.0,165.0
